=================================================
=== Barrier Analysis (filtering for 'kind = barrier*') ===
=================================================

--- Analysis for: copyprivate ---
[0][callback_sync_region] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000002 (0x23e1c0) | codeptr_ra = 0x201c8b
[0][callback_sync_region_wait] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000002 (0x23e1c0) | codeptr_ra = 0x201c8b
[1][callback_sync_region] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000005 (0x23e300) | codeptr_ra = 0x201c8b
[1][callback_sync_region_wait] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000005 (0x23e300) | codeptr_ra = 0x201c8b
[3][callback_sync_region] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000004 (0x23e580) | codeptr_ra = 0x201c8b
[3][callback_sync_region_wait] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000004 (0x23e580) | codeptr_ra = 0x201c8b
[2][callback_sync_region] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000003 (0x23e440) | codeptr_ra = 0x201c8b
[2][callback_sync_region_wait] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000003 (0x23e440) | codeptr_ra = 0x201c8b
[3][callback_sync_region_wait] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000004 (0x23e580) | codeptr_ra = 0x201c8b
[1][callback_sync_region_wait] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000005 (0x23e300) | codeptr_ra = 0x201c8b
[1][callback_sync_region] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000005 (0x23e300) | codeptr_ra = 0x201c8b
[0][callback_sync_region_wait] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000002 (0x23e1c0) | codeptr_ra = 0x201c8b
[0][callback_sync_region] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000002 (0x23e1c0) | codeptr_ra = 0x201c8b
[0][callback_sync_region] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000002 (0x23e1c0) | codeptr_ra = 0x201c8b
[3][callback_sync_region] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000004 (0x23e580) | codeptr_ra = 0x201c8b
[2][callback_sync_region_wait] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000003 (0x23e440) | codeptr_ra = 0x201c8b
[2][callback_sync_region] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000003 (0x23e440) | codeptr_ra = 0x201c8b
[2][callback_sync_region] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000003 (0x23e440) | codeptr_ra = 0x201c8b
[2][callback_sync_region_wait] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000003 (0x23e440) | codeptr_ra = 0x201c8b
[1][callback_sync_region] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000005 (0x23e300) | codeptr_ra = 0x201c8b
[1][callback_sync_region_wait] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000005 (0x23e300) | codeptr_ra = 0x201c8b
[3][callback_sync_region] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000004 (0x23e580) | codeptr_ra = 0x201c8b
[3][callback_sync_region_wait] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000004 (0x23e580) | codeptr_ra = 0x201c8b
[0][callback_sync_region_wait] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000002 (0x23e1c0) | codeptr_ra = 0x201c8b
[3][callback_sync_region_wait] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000004 (0x23e580) | codeptr_ra = 0x201c8b
[3][callback_sync_region] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000004 (0x23e580) | codeptr_ra = 0x201c8b
[2][callback_sync_region_wait] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000003 (0x23e440) | codeptr_ra = 0x201c8b
[2][callback_sync_region] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000003 (0x23e440) | codeptr_ra = 0x201c8b
[2][callback_sync_region] kind = barrier_implicit | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000003 (0x23e440) | codeptr_ra = (nil)
[1][callback_sync_region_wait] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000005 (0x23e300) | codeptr_ra = 0x201c8b
[2][callback_sync_region_wait] kind = barrier_implicit | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000003 (0x23e440) | codeptr_ra = (nil)
[3][callback_sync_region] kind = barrier_implicit | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000004 (0x23e580) | codeptr_ra = (nil)
[3][callback_sync_region_wait] kind = barrier_implicit | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000004 (0x23e580) | codeptr_ra = (nil)
[1][callback_sync_region] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000005 (0x23e300) | codeptr_ra = 0x201c8b
[1][callback_sync_region] kind = barrier_implicit | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000005 (0x23e300) | codeptr_ra = (nil)
[1][callback_sync_region_wait] kind = barrier_implicit | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000005 (0x23e300) | codeptr_ra = (nil)
[0][callback_sync_region_wait] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000002 (0x23e1c0) | codeptr_ra = 0x201c8b
[0][callback_sync_region] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000002 (0x23e1c0) | codeptr_ra = 0x201c8b
[0][callback_sync_region] kind = barrier_implicit | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000002 (0x23e1c0) | codeptr_ra = 0x201bb4
[0][callback_sync_region_wait] kind = barrier_implicit | endpoint = begin | parallel_data->value = 666000001 (0x22faa0) | task_data->value = 555000002 (0x23e1c0) | codeptr_ra = 0x201bb4
[0][callback_sync_region_wait] kind = barrier_implicit | endpoint = end | parallel_data->value = 666666666 ((nil)) | task_data->value = 555000002 (0x23e1c0) | codeptr_ra = 0x201bb4
[0][callback_sync_region] kind = barrier_implicit | endpoint = end | parallel_data->value = 666666666 ((nil)) | task_data->value = 555000002 (0x23e1c0) | codeptr_ra = 0x201bb4
